title,article
"
		  【 求助】成洛大道早高峰一直拥堵，失去快速路的意义",尊敬的领导：成洛大道现在虽然路已经修好但是早高峰依然很拥堵，失去了快速路的意义，每天早上上班通勤时间太长，平时十多分钟可以到地铁口，早高峰硬生生要坐40-50分钟公交车，是成洛大道路口的设计合理还是什么原因，希望领导能重视并解决，让沿线的市民出行能相对顺畅。
"
		  【 投诉】微信知苗易约黄牛太多",早上8:05开始，抢九价疫苗，但是8.04就有人刷出来了，但是8.05:06我进去的时候就没有了，280份我不信人为那么快 这不是黄牛操作，就是他们没放完，请这个小程序修一下或者设置拦截一下黄牛的软件
"
		  【 投诉】四大原因建议取消新邛路公交车道",市长你好，本人多次在新邛公路行驶，此公路为新津到邛崃的公路。据本人观察，此路多为私家车驾驶，公交车非常少。路的每个方向有三条道路，但是却架设了一条公交路线，公交路线禁行日期却到了晚上十一点！本人感觉特别不人性！因为据本人经验来看，这条道路上的公交车非常非常少，有时候从邛崃开往新津时不见一辆公交车，而私家车、大车、货车很多。有些大车不能在公交车道行驶还要挤占另外车道。综上，本人认为，建议取消此路段架设公交车道，一是并没有缓解此路段交通，二是并没有方便居民出行，因为公交车本来就非常少。三是并没有实践架设公交车道（鼓励公交出行）的意义，此路段人民并不会因为有公交车道会选择乘坐公交车出行。四是公交车道应该在城市内架设出行，方便城市区内的居民公共出行。并不知道新津到邛崃的这种城市之间架设公交车道意义何在？本人也去过国内很多地方，并没有发现其他地方城市之前有架设公交车道的情况。请当地交管部门同意本人建议取消公交车道。感谢！
"
		  【 求助】华医通华西医院的专家号在开始约号时间前就满了",5月11日（周三）早上6点就早起，准备在华医通APP上抢华西医院朱精强医生5月17日（下周二）的专家号，结果都显示约满了？！都没到约号开始的时间，怎么就约满了啊？10日看的时候还显示倒计时约号时间。麻烦相关部门核实下，谢谢！
"
		  【 咨询】江安到纳溪大渡口开通公交",您好！相关领导！听闻江安公交公司有准备开通江安—龙君庙（强壮）—大渡的公交车，请问具体何时能够开通，开通后的价格大概是多少钱？谢谢
"
		  【 建言】疫情期间可否实行异地解除车辆抵押",由于成都疫情管控，进出都很不便利，又正好遇到车辆需要解除抵押，不知道可否实行线上处理呢？确实是进出都不便利！
"
		  【 咨询】岳池至重庆动车",您好，请问岳池至重庆的动车为什么又取消了，还会再次开通吗？
"
		  【 咨询】货运车辆交通咨询",各位领导，我是巴中市巴州区枣林镇居民，由于我家接近枣林路段马路边上，近几年明显感觉从巴中经过枣林向元潭乡方向货运车辆（满载超15吨）较多，几乎一半以上甚至70%的货运车辆都经过枣林街道路段，而不行驶旁边的高速公路，给枣林路段马路边上的居民带来困扰：1、货运车辆行驶车次噪音太过频繁，2、甚至还有部分司机行驶有居民居住的路段时还鸣笛。以上两种现象已严重影响了马路边上居民的身心健康，因为频繁的货车行驶轰隆声和部分货运司机鸣笛的高分贝噪音让马路边上居民的身心时刻处于警惕状态，让我自身终日感到烦躁不安，已影响到我的身心健康，长期以往会愈发严重。我此次咨询，是想问问巴中市巴州区交通部门，对于此类现象有何措施能够改善给马路边上居民带来的居民困扰？(困扰主要是：1、大量货运车辆行驶车次太过频繁，有高速不走，偏要走居民居住路段。2、部分货运司机行驶居民居住路段时鸣笛）
"
		  【 投诉】强烈要求拆除违章建筑",旌阳区南泉路160号附一号水之缘小区。举报小区业主违章建筑，占用绿地、通道，破坏主体承重墙的违法行为，该违法建筑严重影响了业主的房屋质量安全与合法权益，破坏市容市貌和城市发展建设规划管理体制，在没有获得审批手续建设用地规划许可证和建筑工程规划许可证的情况下私自搭建门面房开店，该地在商品房销售时作为配套设施归全体业主所有，而不是某个业主就可以随便妀成私人产权霸占公共区域的，巳严重伤害了全体业主的使用合法权益。从投诉到现在过去快5个月了违法建筑依然没有得到查处，对我们的伤害仍然继续存在，获得了相关部门同情并办理了营业执照等相关证件，肯请沒收实物和违法收入。该建筑存在严重火灾安全隐患使楼上住户生命财产受到严重威胁，侵占我们的采光通风和日照权，噪音扰民油烟污染使我们生活 人的精神受到严重伤害，要求拆除违章建筑恢复原样，还小区业主的合法权益。
"
		  【 投诉】郫都区红光小学道路破烂不堪，放学拥挤",郫都区蓝光映玥小区背后面，通往郫都区红光小学的那条断头路，多年破败不堪，尤其在学生上学放学高峰期的时候，特别拥挤，有很多的安全隐患，之前一直听说这条路要重修，这么多年，却迟迟不见动工，请问什么时候才能改善现状，俗话说的好，要致富先修路，何况是学校门口的道路呢！望有关部门体恤民情，赶快把这条路维修一下吧。
"
		  【 建言】成绵扩容完工之后，成青快速路改造",请问成绵扩容高架完工之后，成青路会改造为无红绿灯的快速路同时开行往返五城区的快速公交吗？目前，龙泉、温江、新都均已开行直达五城区的K字头快速公交，非常便利广大群众。从三环龙潭立交到青白江城区仅20多公里，里程不及二环高架一圈，希望未来成青路能改造为真正的快速路同时建设BRT专用车道，开行快速公交，弥补青白江没有地铁通勤五城区的遗憾。
"
		  【 投诉】楼下汽修、仓库长期噪音扰民，无人管理",武侯大道双楠段337号，该地属于晋阳街道管辖范围，也就是地铁武侯大道站J2出口旁边的特加特汽修及一楼的卖汽配的商家长期噪音扰民，晚上至凌晨都会有平板拖车（柴油发动机、平板上升下降过程中一直会发出“滴滴滴”的报警提示声）发出巨大噪音，货车装卸汽车零件和叉车发出的巨大噪音等等，这样我们居住在旁边的居民怎么睡觉，原来这里经常还有城管队员值守，现在长期无人管理，放任自流，有关部门责任是否落实到位？还有就是特加特汽车酒店和汽修厂外面都已经打围了，预计好久拆迁？特加特汽修和特加特酒店以及卖汽车零配件的这一排后面会不会拆，现在一片完全就是战后的乌克兰，这里面存在的违建和各类消防安全隐患到底有没有人管？一共三个问题，请处理。
"
		  【 求助】无法使用成都武侯区医疗电子凭证",原来在达州缴纳过社保，后续在成都缴纳了社保，8月开始。可以查到成都医保缴费信息，但是医保电子凭证没有成都参保地，无法使用电子医保卡
"
		  【 投诉】泸州云龙机场购买的vip卡怎么退",我在泸州云龙机场坐飞机值机时在柜台办理的民航联盟的vip卡如何办理退款
"
		  【 投诉】保利云洲，关于担架电梯宽度太小",1、云洲KT-1电梯井建筑完成面尺寸2100*2500，电梯内部空间尺寸1100*2100，宽度缩小近一半，严重减配，给人狭窄窘迫之感并造成密闭空间浪费、公摊面积增加，强烈要求更换建筑结构尺寸相配套尺寸的梯箱：1500*2100。2、现在这个电梯，要是低楼层的人先进入电梯，那他们出电梯的时候岂不是全电梯的人要出去让行，我想问一下设计是怎么考虑的？这不相当于只配一个电梯吗？3、开发商说这个符合设计要求，那这个电梯冬天估计就只能乘坐3到4个成年人，这仅仅是设计符合一些数据要求，考虑过实际使用吗？30及32层住户要求配备两台电梯，只是数字是两台就可以了吗？
"
		  【 求助】小吃车上路",领导好 本人由于疾病原因导致无法就业 现准备买个小吃三轮车摆摊以供生计 请问电动三轮车餐车如何才能合法上路 如何摆摊才不违法 望领导切实考虑我们这种因病不能参加工作的老百姓难处 予以正确引导及联系 谢谢
"
		  【 求助】小区挖魚池该谁管",乐山麓城13栋一楼业主在绿化带上私挖鱼池，物业不管，城管来了也没处理，存在安全隐患，侵害所有业主利益，请求恢复完状。
"
		  【 建言】优化三大乐高速增加射洪支线",尊敬的领导，你好！目前规划的三大乐高速公路，临近射洪市，三大乐高速公路是该区域很重要的一条区域高速公路，射洪北部区域的高速公路网布局很落后（现有和规划线路少，出口少），去邻县很不方便（只能绕到他们的互通出口才能上高速），成巴高速公路在射洪几公里（射洪境内没设互通出口），绵遂高速公路在射洪北部区域只有一个金华互通出口，北部很多镇不能快捷的就近上高速公路，绕行很远，市域北部腹地没有一条东西向的高速公路，严重影响经济发展和快捷出行，希望三大乐高速公路优化线路增加支线深入射洪北部腹地，改善该区域严重滞后的交通，市域北部乡镇去三台县大英县不在（继续沿着南北向单一公路）绕行，建议三大乐高速公路增加射洪（金华或广兴市区）支线，非常感谢。
"
		  【 投诉】关于黄沙镇扶贫村田兴村村公路部分路面没有硬化",尊敬的区政府，合相关部门领导：我是黄沙镇田兴村6社村民，田兴村是省重点的扶贫村，相关的村村通公路目前已经修通几年了，但是到目前为止还有很多集中农户路面还没有硬化！并且已修通的路面质量严重堪忧，高低落差太大，路面宽度，厚度是否达标？所修村公路工程是否公开公示相关使用国家下拨经费和相关验收结果？我们田兴6对社集中七户（中咀院子）基础路面已达到硬化标准，并且多次反映给社长，村委！到目前为止没有一个具体落实回复！导致七户居民雨天出行严重不便！还敬请区委相关部门给予重视和关切！感谢
"
		  【 投诉】北川公交车到站点不停直接开走",公交车到站点不停，直接开走。公交车牌：川B38869时间8.45左右间
"
		  【 投诉】楼下鲜肉点早上5点过开始宰肉，严重扰民！！",尊敬的书记，您好！我是德阳市旌阳区天山北路万兴花园小区的住户，一楼是商铺，其中有一家鲜肉店，早上5点过就开始断断续续的宰肉，已形成扰民，严重影响住户正常休息，请书记为民做主，督促肉店整改，加装隔音装置，更换宰肉时段，谢谢书记了
"
		  【 投诉】马边县民建镇建新村三组同组公路破烂不堪",尊敬的县领导您们好，我是建新村三组村民。三组通村公路随着雨季的侵蚀和多年的重车碾压，部分路面已经破乱不堪，2021年已经反馈过同样的问题，但是官方回复要整理。但是都过了好几个月了，一点都没动静，现在雨季要来临了，如果雨水侵蚀公路完全有垮塌风险。而且有些高堡坎的地方出现了长度约6米，路面下沉大概10-25公分左右。裂缝宽度大约10cm左右。并且还在往下沉的趋势还在放大。严重威胁路人和过往车辆的安全。随时都有可能大面积塌方和堡坎垮塌的风险。给村民的安全出行带来了非常大的安全隐患。据我所知，目前该公路因资金补贴不到位，导致这些隐患路面已经2-3年没人维护过。所以恳请领导对该村通组公路带有安全隐患路面的维护进程给予重视和监督，确保村民安全出行。。另外该路段弯道多而且陡又急，很多骑摩托车和开车的人，在弯道不按喇叭，导致小事故不断，建议在弯道上面安装一面镜子，这样会减少事故发生。希望以上问题，县领导给予重视和回复，在此表示感谢。
"
		  【 投诉】银都物业管理混乱",游仙区渔人码头小区开发商把原本业主的广场公共区域，用来做停车场，露天经营，个别业主乱搭乱建，影响房屋安全性，物业不作为不制止，广告费，停车费，摊位出租费等公共区域收益，物业从不公布账目，我们想问一下，这些收益到底有没有业主的部分，有些业主是不是想在墙上搭钢架修面积都可以，真没人管理吗？
"
		  【 投诉】空气污染",领导，您好！蓬溪县任隆镇老食品站旁边一家酿酒的小作坊，经常在凌晨4点到5点钟的时候，排出大量不明气体，浓烈的煤烟味，将周围居民呛醒，造成咳嗽，呼吸困难，胸闷胸痛，无法入睡，这种情况已很多年了，反映了很多次了，相关部门相关人员不作为，不知道该谁来管，难道老百姓的生命健康不重要吗？
"
		  【 咨询】成绵复线青白江段是否收费",青白江作为国家级经济技术开发区，又是成都的主城区，交通极为不便利，说青白江这儿好那儿好的买了住房，现在走成绵高速天天堵车还收费，请问新建成的成绵复线是互通站点有哪些地方和青白江至成都段是否收费？
"
		  【 投诉】温江佳兆业珑玺一楼花园安装监控",温江佳兆业一楼业主安装监控，侵犯楼上业主隐私权，请领导查处。
"
		  【 求助】预售房备案",我于2021年8月29日全款购买江口水镇未来城二期（3分期）－14号楼住房一套，与开发商签定了购房合同，售房部承诺三个月后没有拿到备案登记，可以帮我催促，现距签定合同已接近半年，仍然没有备案的信息反馈，购房合同上的预售登记〔2021〕第40号，向相关职能部门，该房是否可以备案，何时才能拿到备案登记表！
"
		  【 咨询】交通，咨询",我是长兴镇东岩村七组的一个村民，想请问下我们组连接仙临镇联盟村有一段泥路的硬化指标什么时候能下来，每到雨季村民出行都不方便。全是泥泞，相信政府修路初衷都是为了方便大家，而不是为大家出行添加阻碍的。
"
		  【 建言】成都市双流区有关S93路公交车的建议",建议能不能给s93路公交车添加一个追踪功能呢。能让出行人员看到该路公交车走到哪里了。能更好的安排自己的行程，尤其是早上上班的时候。可以避免工作人员迟到。
"
		  【 建言】一个站点，两个站台",资阳雁江区沱三桥北公交站同一站名存在两个相距不到100米的两个站点，一个为公交公司认可，一个为广告公司修建，给群众乘车带来不便。
"
		  【 投诉】开发商将地下室所有未售车位安装地锁 是否侵权",双流区西航港街道尚港领地小区，近日开发商为了销售车位，将地下室所有未售车位全部安装地锁，导致本小区业主及外来亲友车辆无法停车，变相强制逼迫销售车位，是否侵犯业主权利?小区也不能月租车位，车位卖不出去的最大原因也是因为价格过高，地下室未做地坪漆，灰尘巨大，业主认为车位价不符实
"
		  【 咨询】公路防护栏",各级交通部门组管好，请问一下原营山县清源乡白井村一组与二组乡村公路已修通硬化快一年了，至今现在再边危险地区防护栏一直没有，难道要等出了事故才安装吗？请上级领导知晓，我代表广大原白井村一社二社社员表示感谢。
"
		  【 求助】关于泸州煤矿井下特殊工种在成都办理退休事宜",2月28日，我带着泸州市新民煤矿的井下特殊工种证明和档案，去成都锦江区办理退休，锦江区致函到泸州，等泸州相关部门调查，到今天已经25天了，成都锦江区因为没有收到泸州方面回函，我的退休也在遥遥无期的等待，求助泸州市长，老百姓就这样无奈等待到何时才有结果？泸州市新民煤矿的所有资料不都在档案馆吗？国企破产我们老百姓被甩了一次，退休还遇上麻烦。求助市长，是泸州市哪个部门在办理这个事？有没有相关人员在办理？我期待回复，谢谢！
"
		  【 咨询】2022四川选调或省考是否延期举行",尊敬的领导：您好！我是一名在四川省以外求学的应届毕业生，已经报名此次3月26日的选调生考试，但是我求学省份现在疫情防控形势严峻，已经处于中高风险城市。目前已有多个省市发布延期通告，请问四川此次考试是否延期呢？备考不易，心中焦急万分，特此咨询。
"
		  【 求助】买房后不停收到各种装修骚扰电话",本人平时非常注重个人隐私信息的保护，但于2019年4月18日在南充市阳光中心城售房部签订房屋买卖协议，从此以后，几乎每天都会接到很多不同装修公司的电话，此情况已经持续将近三年，使本人的工作和生活收到了极大的困扰，骚扰拦截电话也只有举报一个拦截一个，但是举报后还会有其他的装修公司不同的业务员进行电话营销。因本人非常注重个人隐私的保护，现本人怀疑只有阳光中心城售房部人员违规泄露客户个人信息，但苦于无证据。希望有关部门能够帮我在不换号码的情况下，屏蔽各种装修骚扰电话？
"
		  【 咨询】2022年五一节成都可以办结婚酒席吗",领导好！因为婚期将近，查找了网上的文件，也没有看见有关办酒席房间的疫情防控规定。所以在此咨询一下，五一节期间是否对办酒席有明确规定，办酒席是否需要到相关部门报备，省内至成都是否需要隔离，家里有学生的家长是不是不能到省内其他城市？望答复！
"
		  【 建言】公共交通44路",敬爱的市长，您好！公交44路发车间隔差不多是20多分钟到半小时，早高峰车型不定，很多时候是只有10个座位的那种小巴。44路沿途有华西医院温江院区、四川省人民医院温江院区、八一康复中心、以及三医创新基地等，所以乘坐该车的大部分是就医、疗养还有上班族。建议公交公司早高峰期间协调大车跑线路，不然就医的人员大部分要站一路，最长的要站近1小时。请领导帮助群众解决问题，希望重视！
"
		  【 建言】街道环境脏乱差",香江华府周边环境包括周边所有小区，河边全是脏乱差，到处都是垃圾，地面，草丛里都是狗屎、呕吐物、烟头，生活环境越来越差，感觉没有环卫管理和清理，车辆乱停乱放。请求治理
"
		  【 求助】成都微创医院太黑心了",目前本人21岁，4月7号一早去成都微创医院检查费88元，做个包皮水肿手术花了1280元，然后接下来护士给我说下半身感染病毒很严重还给我治疗，给我开的是磁场消融治疗和微米光治疗总共950也给我开了输液一百多！每天每次都是一千多！从7号到15号治疗这么久故意给我过度治疗，最后给我开了两次治疗然后护士给我说只有最后一次开的是高频治疗只要四千多。（被我拒绝了）本人发现察觉不对，同时告知身边的人，才知道自己遇见骗术，本人前前后后总共花了一万一千，这是私营医院，根本不是公立医院，现在强烈投诉，这是对我严重的对我人格侮辱！希望领导能够给予处理！谢谢
"
		  【 投诉】怡润溪镇物业费",怡润溪镇物业管理费标准每月每平方米多少，与网上公示收费标准完全不一致
"
		  【 求助】商业区偷电太凶了，希望有关部门协助整改！",眉山市东坡区迎春北路2-16号金太阳广场。因多次投诉物业水费 电费不合理。最后物业公司放权，协议不在为我们商家收取电费和水费。最后我们商家集体协商重新整理水和电。我们重新牵水管中发现，其他大量商家都出现一家商铺接几个水管的现象（只有一根水管安装水表，其他水管不安装水表）。可是在重新牵电线时，总有人以各种理由不配合整改线路。让我们这些普通商户去为他们的违法偷电行为买单。起初我们想安装一户一表，但是和社区网格员去电力局了解我们金太阳广场是转变高压变压器。电力局不接收我们的变压器 导致我们不能安装一户一表。金太阳广场商业区总共有20多家商铺，但是已经有10来家商铺的电表已经牵出去不从我们变压器接线（但无法确认牵出的商家是否已经不使用变压器的电了）。在和物业沟通中得知金太阳广场商业区每月有1万度左右的电量不知去向，所以消失的电费全由我们剩下的商铺按每度分摊。最后我们商家只能协商重新牵表，把以前的线路全部废掉不用。但是在协商的过程中，总有各别商家以各种理由使起重新牵线无法进行。社区网格员也只能帮助协商，无权干涉她们！真心希望政府部门不要在这个问题上踢了球，这个电费贵的问题投诉或求助快半年了。
"
		  【 投诉】中型垃圾中转站邻近学习，整条街臭气熏天。",达州市渠县尚城一品旁，东城垃圾中转站距离崇德学习不足40米，切周边居民楼较多，整条街恶臭熏天，苍蝇满天飞，数辆垃圾运输车长期停放在道路旁，方圆一百米都能闻到臭味，导致没有人愿意从这条街路过，已影响到学生和居民身体健康。按照垃圾中转站选址建设要求，不应在学校、餐饮店等群众日常生活聚集场所建设。希望能得到妥善解决。
"
		  【 咨询】德阳绕城高速",领导你好！请问德阳绕城高速招商引资工作是否已经完成，此绕城高速业主单位是谁？什么时候可以开工建设？
"
		  【 求助】中国电信号码过户问题",1，关于过户问题 18080800655号码于2016年2月开户，因本人在外地，所以委托表弟胡瑜用他的身份证办理，从2016年至今，该号码均是由本人使用，且所有话费由本人支付。所有此号码关联的银行卡，支付宝，微信等均为本人信息。 2021年9月，本人前往资阳电信咨询宽带业务，被告知本号码可以在资阳办理，需进行跨域融合业务，并未告知过户需再次迁至成都才能过户，之后电询10000电信客服，被告知迁入资阳后，以后过户等业务均可在资阳办理。 2022年1月，当再次咨询本号码过户事宜时，却被告知需将号码迁回成都，且因为本号码为靓号需预存1200元（一次到帐分120月使用），本人对此非常不理解： 1.纠正号码真实使用者信息会如此麻烦。 2.此号码过户需预存1200元且按120个月使用，保底消费100元／月。 这是不是霸王条款呢？ 本人诉求如下： 1.要求中国电信无条件纠正实际使用人信息 2.严厉打击以靓号的名义采取的捆绑式充值消费模式，可采用合同形式与用户协商。
"
		  【 投诉】速8酒店遇事推诿不诚信",2022年03月27日入住“成都文殊速8酒店”，在携程平台订购一个房间，入住10分钟后(18:30分左右)发现环境十分吵闹，后与酒店工作人员沟通后协商要求调换安静符合休息条件的房间。达成增加20元清洁费➕20元房型费共40元。后入住酒店605号房间，晚上11:30分左右，房间传出轰隆轰隆响声，空调电机位于窗户口，声音达到58分贝以上。根据《中华人民共和国城市区域噪声标准》 明确规定了城市五类区域的环境噪声最高限值：根据《中华人民共和国城市区域噪声标准》 明确规定了城市五类区域的环境噪声最高限值：1、疗养区、高级别墅区、高级宾馆区，昼间50分贝、夜间40分贝。2、以居住、文教机关 为主的区域，昼间55分贝、夜间45分贝。与工作人员工作人员实地勘察后他们自己也觉得噪音大，不过未提出整改解决方案，要求更换房间并可支付清洁费或者其他费用后，工作人员推诿扯皮，以无房间为由拒绝，可我在网络平台查看时发现酒店存在未订购房间，实在无法解决后于夜间12:00分离开酒店与其他地点入住后电话咨询商家工作人员仍然推脱不解决，请相关部门核实情况并提出解决方案。
"
		  【 投诉】疫情影响驾驶证学习过期",dododosky 2021-08-18 22:26 已回复19年3月通过了驾考科目一，2020年受疫情影响未能继续学习和预约驾考，2021年前几个月因疫情反复也未能完成学习和考试。网上查到四川地区有驾考学习期限延长半年的政策，那么我的有效期应该可以延期到22年9月左右。但是在交管12123上查询，我的有效期并未显示延期，并且于22年3月截止，想咨询是否可以申请延长学习期限？
"
		  【 求助】办居住证太难了，被中介公司坑，房东又不愿意帮",领导，你好！在办居住证的这条路上实在是太难了，租的是中介哪里租的，办居住证需要房东出视房产证原件之类的，还需要网签备案，房东又不愿帮忙，今年年后找了个租房的中介公司，说可以帮忙办理居住证，结果后来被坑了2000块，事后报警因为签了合同也没用，只当民事纠纷处理了。感觉现在半个居住证真的太难了！
"
		  【 咨询】请问，男士陪产假包括法定节假日吗？",
"
		  【 咨询】关于红光镇宋家林6组有规划开通天然气的计划吗",我们老屋在郫都区红光镇宋家林6组，离我们几百米远的郫筒镇都开通天然气了，为什么我们这边没开？请问近期有开通的计划吗？用罐子燃气灶家里有老人不安全。
"
		  【 咨询】二胎补贴",我是高龄孕妇，怀上二胎几个月了。想问一下二胎有哪些方面的优惠补贴政策？如孕检，生产，幼儿教育方面有什支持，谢谢！
"
		  【 建言】建议将教育园区南实后面的山林改造为教育公园",尊敬的领导您好，我是绵阳市教育园区的一名普通市民。随着绵阳经济的发展，绵阳城市面积越来越大，人口飞速增加，曾经的城郊地区逐步成为了繁荣的城市中心。教育园区也沾上了城市发展的春风，园区内学校已超九所，大型住宅小区8个，人口近10万，远期规划居住人口12万，学生8万，将会成为名副其实的城市新中心之一。未来有东西第二干道穿园而过，且位于科技城新区的中间，串联科技城新区所属永兴、安州与青义、石马片区。绵阳教育作为一张对外的优秀名片，将教育园区作为新区科技、教育的代表之一，将园区作为新区建设的排头兵，重要节点建设，必然会为新区建设增添更强劲的动力！教育园区人口密集，地理位置优越，园区内至今没有建设公园，园区市民也没有休闲娱乐的好去处。为此，特向领导建言，将南实、绵外实后面的山林改造成以教育为主题的公园！绵阳教育作为一张名片，响亮于全川甚至全国，吸引无数莘莘学子前来园区求学，每当周末节假日，无数外地家长皆会汇聚于此。可以说教育园区现在已经是展示绵阳风采的一个重要窗口，再苦不能苦孩子，再穷不能穷教育；而南实、绵外实后面的山林杂草丛生，蛇鼠蚊虫无数，周边居民开垦山林荒地，粪水乱灌，周边臭味熏天。由于外地家长多是直接到达教育园区看望孩子，之后便可能快速返回老家，这样的环境，不仅不能展示绵阳的城市风采，反而让外地前来绵阳的学子、家长们觉得绵阳环境差，不文明、也不宜居，原本可能计划落户绵阳，投资绵阳的学子、家长们，极有可能因此放弃心中的想法！改造这座山林是真的迫在眉睫！为此，特向领导建议将此座山林分片区改造为教育主题的公园，比如国防科技教育、消防安全教育、诗词文化教育、家庭传承教育，传统文化教育、体育教育等！在此处新建公园能改善周边自然环境，提升全市教育声望度，体现绵阳宜居、文明的城市特色，也能成为绵阳对外的一张优秀宣传名片。后附两张山林照片。此致敬礼！
"
		  【 求助】证件年审",我的电工证是2006年在深圳考的，在福建可以年审，为什么在四川就不给年审，得到的回复是加钱重考，难道是为了要钱吗？现在不是全国联网吗？希望能给一个说法！
"
		  【 投诉】西昌市老海亭安置小区拖延15年未办理房产手续",西昌老海亭安置小区于2007年回迁，拆迁至今15年未办理土地使用证及房产证，2006年拆迁时签的拆迁协议明确说明免费办理双证，村民多次询问，邛海公司杜经理以各种理由推卸责任，望政府过问，给广大村民做主。谢谢
"
		  【 投诉】举报四川一品江山酒业公司欺骗老年人购买天价酒",
"
		  【 投诉】公司不给离职人员停保，也不交费，损害员工利益",四川蜂巢建筑技术有限公司不给离职员工办理社保和医疗保险停保，致使员工离职后到新单位不能正常参保。2021年就从该公司离职，但是公司一直不给办理停保，新单位无法交社保，多次电话和微信催促公司相关人员和老板，都拖着不办，现在已经到2022年3月，如果本月还不办理缴费和停保，将影响员工正常的医疗和养老，希望有关部门能督促该公司缴纳社保并办理停保，
"
		  【 投诉】温江佳年华路边乱建停车收费匝道占用人行道",温江佳年华B区原售楼部现招商银行外面路边停车场收费匝道占用人行道，造成市民出行极为不方便，特别是老人和小孩行走在此处很是危险，稍不注意会被附近的柱子挂到，建议政府管一管，还市民一片纯净之地、方便之地，谢谢！
"
		  【 投诉】学生一学期学费不到300元课后延时费用650",我家两孩子都是在四川省资阳市安岳县毛家镇上学！每学期学费300不到！然后所谓的课后延时费用为650元！一个比较偏僻的农村这个价格是否合理？一个班就好几万？还有每次学校布置的网上作业作为一个农村孩子家里只有老人，学校需要家长自己做网课！请问一下这个算不算从小给孩子作弊呢？
"
		  【 咨询】仁寿县小餐馆安装天然气报警器多少钱一套",各位领导，咨询一下仁寿县城内小餐馆安装天然气报警器多少钱一套？强制安装吗？必须燃气公司指定公司安装吗？
"
		  【 求助】不按照合同办事",尊敬的领导你好！我们是四川省达州市宣汉县城石岭大道，巴人馨城A栋一单元的业主，我们于2020年5月18日和山西复兴电梯成套设备有限公司签订旧楼电梯的加装合同，合同约定在电梯完工，行政部门验收合格一年后给付合同总造价的10％尾款，合约价38万人民币，已给付34•2万，可建成至今到现在，前期业主给付了30几万，连最起码的开工、报建手续都没有，更别说综合验收了，维保单位和责任人都没有，严重影响住户安全，现在原项目负责人已死亡，电梯也被质检部门叫停，而要想启动，电梯公司现有法人的要求是有理无理都要把尾款给完才能办理验收，这样没诚信的企业是怎么进入宣汉市场的，而且山西复兴电梯成套设备有限公司在宣汉的所有旧楼加装电梯项目，全部都没手续，且扯皮。希望领导予以督促后续工作，给予我们居民的安全出行和合法保障
"
		  【 咨询】叠秀路绕城高速跨线桥何时维修结束？",尊敬的各级领导：您好！我是居住在新都区保利198社区的新成都人。因为叠秀路绕城高速跨线桥（五龙山跨线桥）被检测出有安全风险，设置了限高杆，公交车已经不能通过，所以周围小区的居民想要坐公交车非常困难。但是一个多月过去了，并没有任何实质性的维修工作展开，请问附近的居民还需要忍受多久的无公交状态呢？补充一点建议就是，维修的时候能否在跨线桥上增设人行道呢？长期以来，跨线桥上只有车行道，附近居民过桥只能和汽车抢道，非常危险。我建议相关单位尽快落实维修和增添人行道的工作，安全不是小事，不要总是等出了事再来弥补。谢谢！
"
		  【 投诉】中科滨河湾地下车库漏水，地面开裂",领导你好，我是中科滨河湾的业主，在接房期间，我们发现地下车库漏水严重，地面大面积开裂，希望有关部门能催促开发商尽快解决，谢谢
"
		  【 感谢】几天前反应电子医保参保地未知，解决很及时",前几天反映电子啥社保卡参保地未知导致用不起，在问政四川反映后，工作人员主动打电话，态度很好，比较有耐心告诉我尽快解决，今天突然看了下，问题解决了，解决问题高效，真心感谢那天联系我的工作人员，也感谢政府，不用再去医保局解决，在此衷心感谢。为民服务的好举措，点赞！！！！！
"
		  【 咨询】小区车库是否能安装充电的新能源车的插头",您好，我是泸州的，新买了一辆小型的新能源车四座，想安装在小区车库，属于城区，这个车属于慢充，不用充电桩，是否可以安装电表直接在车库里面充电，这样不用另外买充电桩。按照川办发【2017】19号文件，是鼓励安装新能源充电的。就想确定是否必须安装充电桩？为什么每个小区都执行标准不一样。
"
		  【 建言】仁寿县清水镇五里村 原新店村3队1组 拆迁问",领导好！咨询，与兴盛工业园区接壤的仁寿县清水镇五里村 那个居民组（原新店村3队，老地名 尹家幺店子 长山埂 原新店村3队1组  ），拆迁了部分，剩下的部分村民还要拆迁吗？田地及长山埂山林（祖坟） 要被占吗？祖籍此地，不希望此地余下的田地山林被占。原因一，农民失地后，没有一技之长，年龄大了，打工不易，后半生生存不易。原因二，长山埂山林百年祖坟地。中国人传统，迁坟是大事，事关后人的生死祸福。盼回复。谢谢！
"
		  【 咨询】凌家坝小学进入华胥路的十字路口红绿灯优化建议",阆中市凌家坝小学进入华胥路的十字路口，在上学和放学时间由于人流和车流量大，该路口的绿灯为左转与直行并行，当行人过街时车辆也在通过，对孩子的安全威胁很大，恳请交通部门优化该路口的红绿灯，可在8-9点，18-19点仅允许车辆直行，保障学生安全。请转阆中市交通局或交警队。
"
		  【 求助】二建报考资格审核",尊敬的领导：您好！我是今年报考二建的考生，我于3月17日已经报名成功，但直到今天资格初审结果都还是显示审核中，打资格审核电话也一直无人接听，怕错过今年的二建考试，请领导给予帮助，谢谢！
